"","x","y"
"80",1830.03671875,2529.89405517578
"81",1724.36227416992,2528.99798583984
"82",1689.91496582031,2530.56994628906
"83",1743.28048095703,2533.26354980469
"84",1760.17298583984,2536.19663085938
"85",1824.2029296875,2546.37110595703
"86",1833.33212890625,2557.77907714844
"87",1709.79066772461,2536.41535644531
"88",1707.16564941406,2545.22290039062
"89",1796.45487060547,2543.71485595703
"90",1784.90682373047,2535.50704345703
"91",1787.91295166016,2547.6923828125
"92",1718.33538818359,2544.99110107422
"93",1847.84002685547,2540.02868652344
"94",1768.95874023438,2546.61079101562
"95",1741.76911621094,2551.50472412109
"96",1809.26214599609,2548.00594482422
"97",1772.67292480469,2558.08454589844
"98",1683.79293212891,2551.23328857422
"99",1863.81944580078,2537.1005859375
"100",2472.90587158203,2183.92475585937
"101",2469.91862792969,2108.26707763672
"102",2498.66942138672,1875.53745117187
"103",2466.11188964844,2306.66072998047
"104",2468.63096923828,2320.57221679687
"105",2465.94317626953,2136.47105712891
"106",2483.71265869141,2378.40666503906
"107",2466.61927490234,2270.10574951172
"108",2476.09565429687,2259.01279296875
"109",2466.02908935547,2287.14289550781
"110",2489.36175537109,2526.22531738281
"111",2471.78402099609,2456.37009277344
"112",2493.68791503906,2294.78189697266
"113",2466.43001708984,2486.69326171875
"114",2475.95474853516,2420.25505371094
"115",2476.51795654297,2301.77613525391
"116",2477.92493896484,2281.50396728516
"117",2482.99069824219,2400.51766357422
"118",2472.82950439453,2539.63460693359
"119",2488.86204833984,2496.38961181641
"120",2478.65665283203,2131.96767578125
"121",2470.52271728516,2226.83896484375
"122",2461.60186767578,2186.00430908203
"123",2484.32857666016,1906.58050537109
"124",2479.77476806641,2108.42188720703
"125",2487.45070800781,2476.08797607422
"126",2498.19274902344,2377.14556884766
"127",2478.42319335938,2204.84064941406
"128",2486.588671875,2269.29331054688
"129",2479.16383056641,2160.86041259766
"130",2500.48376464844,2398.54187011719
"131",2480.70196533203,2183.53358154297
"132",2482.27247314453,2338.11363525391
"133",2492.52331542969,2166.3943359375
"134",2494.24136962891,2117.32779541016
"135",2490.82061767578,2138.00981445312
"136",2500.78238525391,2327.93916015625
"137",2493.49035644531,2213.96009521484
"138",2494.95419921875,2314.96877441406
"139",2496.57762451172,2276.19727783203
"140",2485.10345458984,2238.80703125
"141",2493.33388671875,2250.38205566406
"142",2489.30095214844,2179.49608154297
"143",2470.45216064453,2373.62562255859
"144",2476.81242675781,2393.68093261719
"145",2491.55212402344,2452.25103759766
"146",2498.53391113281,2342.56555175781
"147",2478.46822509766,2410.91065673828
"148",2486.89766845703,2360.92438964844
"149",2469.68848876953,2038.57122802734
"150",2479.28896484375,1994.92551269531
"151",2482.42126464844,2049.75922851562
"152",2496.25264892578,2026.56726074219
"153",2468.40518798828,2159.77093505859
"154",2489.74110107422,1957.12728271484
"155",2489.69710693359,1929.22254638672
"156",2464.23217773438,1868.35831298828
"157",2477.48499755859,2019.05609130859
"158",2492.67335205078,1808.50096435547
"159",2488.32768554687,1820.76433105469
"160",2487.59202880859,1798.00960693359
"161",2489.26899414062,1943.64743652344
"162",2480.85220947266,2081.10297851562
"163",2472.20092773438,1973.45948486328
"164",2471.47626953125,2550.23740234375
"165",2472.85876464844,2061.05804443359
"166",2492.61649169922,2039.30480957031
"167",2495.57322998047,1977.29133300781
"168",2492.30375976562,2095.63826904297
"169",2470.56256103516,1859.96041259766
"170",2495.83802490234,2159.92159423828
"171",2472.24761962891,1948.33800048828
"172",2482.67858886719,1849.76041259766
"173",2489.28704833984,1892.60510253906
"174",2480.99830322266,1877.76662597656
"175",2482.02137451172,2536.49338378906
"176",1658.18294677734,1914.80533447266
"177",1641.34045410156,1802.03341064453
"178",1652.94359741211,1803.68215332031
"179",1660.4049621582,1808.80726318359
"180",1656.08336791992,2481.96575927734
"181",1648.86365966797,1829.97840576172
"182",1669.46879272461,1839.46038818359
"183",1668.88659667969,1853.34385986328
"184",1642.48305664062,1861.17626953125
"185",1652.87013549805,1869.34361572266
"186",1674.96764526367,1879.88913574219
"187",1662.41136474609,1878.61392822266
"188",1658.35570678711,1890.99163818359
"189",1646.18479003906,1904.74831542969
"190",1671.99212646484,1907.94183349609
"191",1649.14848022461,1920.11513671875
"192",1665.32774047852,2232.13112792969
"193",1672.49961547852,1935.98498535156
"194",1657.70067138672,1941.83973388672
"195",1646.08092651367,1954.84353027344
"196",1656.63806762695,1961.11062011719
"197",1664.20080566406,1970.75882568359
"198",1648.27783203125,2001.76556396484
"199",1676.18962402344,2014.1779296875
"200",1651.57894897461,2019.95838623047
"201",1645.47258300781,2036.89758300781
"202",1674.28200073242,2037.20927734375
"203",1662.80170898437,2079.82133789062
"204",1672.57951049805,1814.42917480469
"205",1650.98388671875,2103.94838867187
"206",1669.27268676758,2101.55672607422
"207",1668.17750244141,2117.53656005859
"208",1661.20858154297,2131.25380859375
"209",1665.65240478516,2156.19558105469
"210",1655.22683105469,2166.34577636719
"211",1646.99494628906,2180.94747314453
"212",1662.71527709961,2186.30666503906
"213",1677.12947998047,2197.28050537109
"214",1666.3486328125,2195.03037109375
"215",1671.96089477539,2210.67589111328
"216",1664.67011108398,2207.06193847656
"217",1672.22703857422,2221.82861328125
"218",1672.17598876953,2249.01533203125
"219",1654.26134643555,2254.67044677734
"220",1649.00518798828,2237.69783935547
"221",1644.10710449219,2214.99291992188
"222",1678.03447265625,2472.65767822266
"223",1653.93585205078,2466.54996337891
"224",1669.06755371094,2446.85179443359
"225",1649.92698974609,2345.42807617188
"226",1666.5608215332,2430.48763427734
"227",1662.88627319336,2414.57171630859
"228",1655.69997558594,2422.94077148438
"229",1647.92069091797,2380.126171875
"230",1643.14006347656,2404.49560546875
"231",1651.07000732422,2363.82841796875
"232",1657.89459838867,2054.61165771484
"233",1663.4669128418,2359.09718017578
"234",1664.71016235352,2404.61306152344
"235",1660.67951049805,2387.73280029297
"236",1652.02916259766,2333.64366455078
"237",1680.45653686523,2439.21196289062
"238",1658.69002075195,1823.67437744141
"239",1641.42252807617,2462.19267578125
"240",1651.00256347656,2317.29506835937
"241",1665.49666137695,2336.34930419922
"242",1660.36148681641,2456.71374511719
"243",1664.38093261719,2304.49256591797
"244",1645.0856628418,2535.68156738281
"245",1657.54835205078,2287.14144287109
"246",1670.37835083008,2495.00275878906
"247",1659.38012695312,2536.70692138672
"248",1649.11040039063,2520.49051513672
"249",1666.08684692383,2513.36325683594
"250",1659.14905395508,2550.54307861328
"251",2026.49338378906,1699.48296508789
"252",2119.04045410156,1686.22952270508
"253",2144.57282714844,1706.93395385742
"254",2128.09536132812,1704.41383666992
"255",2204.8501953125,1715.81361083984
"256",2077.22568359375,1695.02088012695
"257",2104.57904052734,1700.95075073242
"258",1999.77130126953,1695.27436523437
"259",2017.81968994141,1688.62647705078
"260",2136.89916992188,1693.50546875
"261",2062.10124511719,1690.21452026367
"262",2118.51978759766,1697.06577758789
"263",2093.90963134766,1696.10963134766
"264",2013.52196044922,1718.85781860352
"265",2110.13516845703,1687.38042602539
"266",2124.32203369141,1690.62997436523
"267",2117.75030517578,1707.26370239258
"268",2298.94577636719,1709.8516784668
"269",2154.39327392578,1689.2591003418
"270",1970.40687255859,1693.73975830078
"271",2047.16793212891,1705.82569580078
"272",1950.90169677734,1686.15668334961
"273",1944.5576171875,1710.46033325195
"274",2166.22977294922,1713.33115844727
"275",2178.19140625,1689.20950317383
"276",1945.8890625,1699.2028137207
"277",1956.31878662109,1707.37161254883
"278",1933.45552978516,1695.66771850586
"279",2187.27868652344,1697.96371459961
"280",1922.65206298828,1694.98767700195
"281",1913.64716796875,1705.47996826172
"282",2411.38587646484,1697.92086181641
"283",1917.82225341797,1716.75274047852
"284",1908.05264892578,1691.9814453125
"285",2224.25472412109,1713.99656982422
"286",1893.98863525391,1695.91082763672
"287",2220.74370117187,1692.49547119141
"288",2235.13123779297,1691.02177124023
"289",1891.05347900391,1715.52962036133
"290",1882.26502685547,1703.88403930664
"291",1874.73455810547,1714.93320922852
"292",1841.92260742188,1703.18843383789
"293",1871.56573486328,1686.62899780273
"294",2250.43580322266,1713.36934204102
"295",1784.82651367187,1711.46929321289
"296",1767.5583984375,1715.20485229492
"297",1813.18800048828,1704.38706665039
"298",2268.44849853516,1693.83334960937
"299",2297.91564941406,1688.69952392578
"300",2281.79864501953,1710.04965209961
"301",1875.37952880859,1693.48440551758
"302",1792.96708984375,1693.09447631836
"303",1739.67182006836,1714.73243408203
"304",1780.87305908203,1697.30442504883
"305",1860.79484863281,1697.47137451172
"306",1859.62464599609,1714.72631225586
